"Uuid","Name","Concept Drug","Concept Dosage Form","Strength"
"3e2ac27f-a4b3-4661-93b9-ede9f425d473","ACETYLSALICYLIC acid (aspirin), 500mg, tab.","0b33b83f-8375-4423-a1cf-e781628f6f0c","c1f4a088-32a8-4b34-8162-944bb6ed026f","500mg"
"49318296-bf23-42a2-b3d8-267e5471b796","ACETYLSALICYLIC acid (aspirin), 75mg, gastro-resistant tab.","0b33b83f-8375-4423-a1cf-e781628f6f0c","2c288c94-f37f-4d7b-ba78-073bd7b3c058","75mg"
"42115d56-707e-4d4f-8f47-3fbb7e429a5f","ALBENDAZOLE, 200mg/5ml, oral susp., 10 ml, bot.","62f586a0-7f95-43e9-908a-0a3c491cffbc","fe152bf2-f35e-41fa-bc78-bbb94b60d6d2","200mg/5ml, 10 ml"
"dd073439-617c-44df-b086-0c77c8ab1f3f","ALBENDAZOLE, 200mg, tab.","62f586a0-7f95-43e9-908a-0a3c491cffbc","c1f4a088-32a8-4b34-8162-944bb6ed026f","200mg"
"544a9ee0-0bb7-4d6c-a0dc-1740421aba61","ALBENDAZOLE, 400mg, tab.","62f586a0-7f95-43e9-908a-0a3c491cffbc","c1f4a088-32a8-4b34-8162-944bb6ed026f","400mg"
"6d29c67d-7867-4d45-b845-c936531a6a4c","ALLOPURINOL, 100mg, tab.","e50eb683-1c24-475a-a280-0ffc563828f7","c1f4a088-32a8-4b34-8162-944bb6ed026f","100mg"
"3b4f4c39-253f-49a8-8d29-76f5f52716a2","ALUMINIUM hydrox. 400mg/ MAGNESIUM hydrox. 400mg, chew. tab.","2c0d1ccc-decd-4c6b-88be-7a1de6068e46","f6c26c40-610e-4ae6-aa35-54a0facac81d","400mg / 400mg"
"3fe44be6-6a3c-4f9b-89de-5dae8e527d25","AMIODARONE hydrochloride, 200mg, tab.","e3aba677-f747-4015-8123-87bcb9868810","c1f4a088-32a8-4b34-8162-944bb6ed026f","200mg"
"2950f73b-d3be-420b-b4c3-625d0f7d7f99","AMITRIPTYLINE hydrochloride, 25mg, tab.","f201d0a6-84f3-4343-9400-05c3fe74550f","c1f4a088-32a8-4b34-8162-944bb6ed026f","25mg"
"2605fb46-9193-4dcf-b534-4dfd44cfb5a2","AMLODIPINE, 5mg, tab.","9f1dc92c-dcec-4c10-96f2-aca6c095b960","c1f4a088-32a8-4b34-8162-944bb6ed026f","5mg"
"0f34b316-23c6-42dc-87a2-88bff36aa7fc","AMOXICILLIN 500mg/ CLAV.ac. 62.5mg/5ml,powder oral susp 60ml","adbaae51-e4f6-403f-81c0-a26ba1f6292f","b277519e-e813-4b63-b093-2abf7f3f2960","500mg / 62.5mg/5ml, 60ml"
"1629c726-651c-4abb-aa93-02c818f29577","AMOXICILLIN 200mg/ CLAVULANIC acid, 28.5mg, disp. tab.","adbaae51-e4f6-403f-81c0-a26ba1f6292f","06fa5b83-7472-45c4-94dc-8b06075690ba","200mg/ 28.5mg"
"c33b9e50-8443-4aa0-8b40-27a6959ae75b","AMOXICILLIN 400mg / CLAV.ac. 57mg/5ml, powd.oral susp. 70ml","adbaae51-e4f6-403f-81c0-a26ba1f6292f","b277519e-e813-4b63-b093-2abf7f3f2960","400mg / 57mg/5ml, 70ml"
"5bded5b1-c815-45d7-9672-e306fae68b15","AMOXICILLIN 500mg / CLAVULANIC acid, 62.5 mg, tab.","adbaae51-e4f6-403f-81c0-a26ba1f6292f","c1f4a088-32a8-4b34-8162-944bb6ed026f","500mg / 62.5mg"
"982fc6fa-2794-4848-bb87-7245b0f1c432","AMOXICILLIN 500mg / CLAVULANIC acid 125mg, tab.","adbaae51-e4f6-403f-81c0-a26ba1f6292f","c1f4a088-32a8-4b34-8162-944bb6ed026f","500mg / 125mg"
"a5f7fad7-a54d-40a4-abc8-a4a2815792d0","AMOXICILLIN 875mg / CLAVULANIC acid 125mg, tab.","adbaae51-e4f6-403f-81c0-a26ba1f6292f","c1f4a088-32a8-4b34-8162-944bb6ed026f","875mg / 125mg"
"d7e845c4-878a-455b-887a-85d883f355c9","AMOXICILLIN, 125mg/5ml, powder oral susp., 100ml, bot.","8c1cfcc5-aa17-45ed-9cae-3cb2ae935a70","b277519e-e813-4b63-b093-2abf7f3f2960","125mg/5ml, 100ml"
"0c7bb59d-f8b6-4908-a0a4-d3d399dee7f2","AMOXICILLIN, 250mg, caps.","8c1cfcc5-aa17-45ed-9cae-3cb2ae935a70","c2c7e944-e9d6-4b2d-bf1e-b542dbdbb634","250mg"
"9300aa41-85e3-4f62-8c17-38828869895c","AMOXICILLIN, 250mg, disp. and break. tab.","8c1cfcc5-aa17-45ed-9cae-3cb2ae935a70","7c964548-938f-4e28-971e-b1bc660f2484","250mg"
"6dadb173-87af-405c-af1b-d1325862d55a","AMOXICILLIN, 500mg, caps.","8c1cfcc5-aa17-45ed-9cae-3cb2ae935a70","c2c7e944-e9d6-4b2d-bf1e-b542dbdbb634","500mg"
"af21583b-3cb4-4137-b3a2-67c9e2e6bb9d","AMOXICILLIN, 500mg, tab.","8c1cfcc5-aa17-45ed-9cae-3cb2ae935a70","c1f4a088-32a8-4b34-8162-944bb6ed026f","500mg"
"f2ad7386-1fd8-4082-a252-79ae0a98862c","AL 20/120mg, blister of 6 disp. tab., 5-14 kg","98007910-48d3-4c9f-a45a-3bbf604c2e28","d969ee2e-4052-417c-9954-e2ded7ed0e00","20mg / 120mg, 5-14 kg, 6 dispersible tablets"
"c1a97afa-5482-46f2-bb05-9f864b9e1214","AL 20/120mg, blister of 12 disp. tab., 15-24 kg","98007910-48d3-4c9f-a45a-3bbf604c2e28","d969ee2e-4052-417c-9954-e2ded7ed0e00","20mg / 120mg, 5-24 kg,12 dispersible tablets"
"77c4fdf6-6cf6-47ac-ba07-51763d753114","AL 20/120mg, blister of 18 tab., 25-34 kg","98007910-48d3-4c9f-a45a-3bbf604c2e28","d969ee2e-4052-417c-9954-e2ded7ed0e00","20mg / 120mg, 25-34 kg, 18 tablets"
"ee47195b-7f0e-4d9a-a41e-0d69af5f8d40","AL 20/120mg, blister of 24 tab., >35 kg","98007910-48d3-4c9f-a45a-3bbf604c2e28","d969ee2e-4052-417c-9954-e2ded7ed0e00","20mg / 120mg, >35 kg, 24 tablets"
"a9a022c9-13db-4d55-8ca2-6a6813e41ce6","AL 80/480 mg, blister of 6 tab., >35 kg","98007910-48d3-4c9f-a45a-3bbf604c2e28","d969ee2e-4052-417c-9954-e2ded7ed0e00","80mg / 480 mg, >35 kg, 6 tablets"
"c83be09f-68b7-4ec1-8616-072bd56d5e57","AS 25mg / AQ eq. 67.5mg base, blister of 3 tab, 4.5-8 kg","9ad20676-eded-4624-ad45-6b411ca939c5","d969ee2e-4052-417c-9954-e2ded7ed0e00","25mg / eq. 67.5mg base, 4.5-8 kg, 3 tablets"
"7b6cd19f-f2de-4c6a-80bf-ce2a903e9629","AS 50 mg / AQ eq. 135mg base, blister of 3 tab, 9-17 kg","9ad20676-eded-4624-ad45-6b411ca939c5","d969ee2e-4052-417c-9954-e2ded7ed0e00","50 mg / eq. 135mg base, 9-17 kg, 3 tablets"
"6c97458c-e5cb-4cb7-b550-ad09643c7448","AS 100mg / AQ eq. 270mg base, blister of 3 tab, 18-35 kg","9ad20676-eded-4624-ad45-6b411ca939c5","d969ee2e-4052-417c-9954-e2ded7ed0e00","100mg / eq. 270mg base, 18-35 kg, 3 tablets"
"a02d71ef-852e-45e8-b329-d7a744c137cf","AS 100mg / AQ eq. 270mg base, blister of 6 tab., >36 kg","9ad20676-eded-4624-ad45-6b411ca939c5","d969ee2e-4052-417c-9954-e2ded7ed0e00","100mg / eq. 270mg base, >36 kg, 6 tablets"
"877161a8-9c90-4944-a85d-cc5ae9a53ec2","ASCORBIC acid (vitamin C), 50mg, tab.","cf39d27f-6906-403b-843f-f87f5d99a0d1","c1f4a088-32a8-4b34-8162-944bb6ed026f","50mg"
"8918f542-aa09-47cc-ace4-6147a9bc44dd","ASCORBIC acid (vitamin C), 250mg, chewable tab.","cf39d27f-6906-403b-843f-f87f5d99a0d1","f6c26c40-610e-4ae6-aa35-54a0facac81d","250mg"
"87dcc7cd-7adf-4ad8-88c9-19b4959d9175","ASCORBIC acid (vitamin C), 500mg, tab.","cf39d27f-6906-403b-843f-f87f5d99a0d1","c1f4a088-32a8-4b34-8162-944bb6ed026f","500mg"
"0428ac96-4bc6-4f39-b06a-8d58de38c6d1","AS 20mg/ PYRONARIDINE 60mg, granules, sachet","2d7640d8-9fdc-4c2c-abf0-cb6f2f1a50e7","2aba1a18-5eeb-4e2e-9ff3-879580b74286","20mg / 60mg"
"e67a7447-42ff-46e2-976e-45893f5c5840","AS 60mg/ PYRONARIDINE 180mg, tab.","2d7640d8-9fdc-4c2c-abf0-cb6f2f1a50e7","c1f4a088-32a8-4b34-8162-944bb6ed026f","60mg / 180mg"
"881028f3-3ecf-4792-8330-c26db80c2e57","ATOVAQUONE 62.5mg/ PROGUANIL HCl 25mg, tab., 11-40kg","3fb4c218-4034-4a9b-bc49-fbaac02e10df","c1f4a088-32a8-4b34-8162-944bb6ed026f","62.5mg/ 25mg, 11-40kg"
"55be2f89-d4b5-4f62-91d0-5296898b59d2","ATOVAQUONE 250mg / PROGUANIL HCl 100mg, tab., >40 kg","3fb4c218-4034-4a9b-bc49-fbaac02e10df","c1f4a088-32a8-4b34-8162-944bb6ed026f","250mg / 100mg, >40 kg"
"3e6e85f5-5f6d-45bf-901f-46eec49c967d","ATORVASTATIN calcium, eq. 10mg base, tab.","8ce5a550-5f87-45ae-9bf5-a44ad31cb3fe","c1f4a088-32a8-4b34-8162-944bb6ed026f","eq. 10mg base"
"808dca1e-2316-413c-9521-7af94103890b","ATORVASTATIN calcium, eq. 20mg base, tab.","8ce5a550-5f87-45ae-9bf5-a44ad31cb3fe","c1f4a088-32a8-4b34-8162-944bb6ed026f","eq. 20mg base"
"fd251dd6-e51a-4db3-81b4-2e9c8c6490e6","ATORVASTATIN calcium, eq. 40mg base, tab.","8ce5a550-5f87-45ae-9bf5-a44ad31cb3fe","c1f4a088-32a8-4b34-8162-944bb6ed026f","eq. 40mg base"
"4341f27d-a153-4a53-b964-1cef2c91ad3b","ATV 300mg / r 100mg, tab.","9b180d25-7125-4f6a-ae48-135d10d079f2","c1f4a088-32a8-4b34-8162-944bb6ed026f","300mg / 100mg"
"6a36c5eb-8bf2-4469-aed8-872f3f7c9404","AZITHROMYCIN, 250mg, tab.","e15225c7-10de-4dd4-b31a-7274337e2417","c1f4a088-32a8-4b34-8162-944bb6ed026f","250mg"
"1a84bc37-65c5-41e1-919f-42bb9807d63c","AZITHROMYCIN, 200mg/5ml, powder oral susp., 30ml, bot.","e15225c7-10de-4dd4-b31a-7274337e2417","9211e6c7-9ac6-413d-9f4b-c5c90be6c52d","200mg/5ml, 30ml"
"e198b789-0ce0-4409-afe7-851649d00dfb","AZITHROMYCIN, 500mg, tab","e15225c7-10de-4dd4-b31a-7274337e2417","c1f4a088-32a8-4b34-8162-944bb6ed026f","500mg"
"1de7a3f2-1276-4caa-b41e-10ccfc106040","BECLOMETASONE dipropionate, 100mcg/puff, 200 puffs, aerosol","a4984c3f-4098-4eb1-aac8-d2f75bc53242","476bc7e6-24de-424a-9b21-da05a213785d","100mcg/puff, 200 puffs"
"e25d070e-bd5f-4443-a0dd-a511977d26d2","BECLOMETASONE dipropionate, 250mcg/puff, 200 puffs, aerosol","a4984c3f-4098-4eb1-aac8-d2f75bc53242","476bc7e6-24de-424a-9b21-da05a213785d","250mcg/puff, 200 puffs"
"98c604f9-aed7-4742-ac27-dc618979bd5e","BECLOMETASONE dipropionate, 50mcg/puff, 200 puffs, aerosol","a4984c3f-4098-4eb1-aac8-d2f75bc53242","476bc7e6-24de-424a-9b21-da05a213785d","50mcg/puff, 200 puffs"
"91c94e4a-c223-4330-be25-71226660454c","BEDAQUILINE, 100mg, tab.","f7e5b431-b71b-4af6-a69d-ee20b045c32c","c1f4a088-32a8-4b34-8162-944bb6ed026f","100mg"
"8a4d6c51-f1a1-488c-bf17-a5b6ef8f3716","BEDAQUILINE, 20mg, tab.","f7e5b431-b71b-4af6-a69d-ee20b045c32c","c1f4a088-32a8-4b34-8162-944bb6ed026f","20mg"
"9731dd58-071a-414c-9e48-4e0401227ab8","BECLOMETASONE dipr.100mcg/FORMOTEROL fum. 6mcg/puff 120p,aer","e6d670de-2a59-486f-9dc9-784980fe4478","476bc7e6-24de-424a-9b21-da05a213785d","100mcg / 6mcg/puff, 120 puffs"
"e7163db3-e410-4cca-bca8-febe80a0ae16","BIPERIDEN hydrochloride, 2mg, tab","d9d45440-c78d-4adc-9316-963cb70abcbb","c1f4a088-32a8-4b34-8162-944bb6ed026f","2mg"
"553d811d-445c-415e-9bd6-4d8ba1915424","BISACODYL, 5mg, tab.","e2567221-e994-43f2-a92c-883b2d1dc8bf","c1f4a088-32a8-4b34-8162-944bb6ed026f","5mg"
"69a1074a-aba0-43df-8476-ff590a7a6e65","BISOPROLOL fumarate, 10mg, break.tab. in 1/4","55ba08e3-1692-4ca0-9d87-dd23cb9cb3bd","7c964548-938f-4e28-971e-b1bc660f2484","10mg"
"7c62b173-6054-4908-b4b4-b41d38e8c393","BISOPROLOL fumarate, 2.5mg, break. tab.","55ba08e3-1692-4ca0-9d87-dd23cb9cb3bd","7c964548-938f-4e28-971e-b1bc660f2484","2.5mg"
"56c3cd63-de32-4378-8af4-72ee658eda95","BISOPROLOL fumarate, 5mg, tab.","55ba08e3-1692-4ca0-9d87-dd23cb9cb3bd","c1f4a088-32a8-4b34-8162-944bb6ed026f","5mg"
"b1e73249-2ef2-482f-ad2b-a153ae1b5ce5","BUDESONIDE 80mcg/FORMOTEROL 4.5 mcg/p, 120 puffs, aer.","be54f128-f0de-40ae-bdef-39a1551cc4c3","476bc7e6-24de-424a-9b21-da05a213785d","80mcg / 4.5 mcg/puffs, 120 puffs"
"e5024eaa-ed28-4a9e-873c-42535df0a7a8","CABERGOLINE, 0.5mg, break. tab.","5a8f1a0f-8f1f-4043-a3df-6ad5f53e3a82","7c964548-938f-4e28-971e-b1bc660f2484","0.5mg"
"132f7122-b876-4af9-afee-63d93a8facb3","CALCIUM carbonate, eq. 500mg Ca, chewable tab.","487ac094-ddc6-40e3-b844-7a9e8623dd14","f6c26c40-610e-4ae6-aa35-54a0facac81d","eq. 500mg Ca"
"f9992da9-ad7d-4f51-ae94-256c53e1221b","CALCIUM carbonate, eq. 600mg Ca, chewable tab.","487ac094-ddc6-40e3-b844-7a9e8623dd14","f6c26c40-610e-4ae6-aa35-54a0facac81d","eq. 600mg Ca"
"40f28be2-4fa7-410e-bd19-f89ab7495c40","CARBAMAZEPINE, 200mg, tab.","bd134a79-bed8-4892-8f2e-e337ed22a0c4","c1f4a088-32a8-4b34-8162-944bb6ed026f","200mg"
"1047d829-f02a-4880-b112-0aafa52dbb17","CARBOCISTEINE, 250mg/5ml, oral sol., 200ml, bot.","10f5053b-3584-497c-8d5a-60bef6135335","32e02e8e-a4b6-472b-9c9b-2afbc3a6cb78","250mg/5ml, 200ml"
"ecffe182-ece9-4130-9a21-f8c8a4879d90","CARVEDILOL, 3.125mg, breakable tab.","da42360d-ec99-4000-bc41-7e4e32a1446f","7c964548-938f-4e28-971e-b1bc660f2484","3.125mg"
"85e7d584-e922-4dc9-8149-4b1d164823c1","CARVEDILOL, 6.25mg, breakable tab.","da42360d-ec99-4000-bc41-7e4e32a1446f","7c964548-938f-4e28-971e-b1bc660f2484","6.25mg"
"bf2ea677-3409-49c3-86f7-dbcac69d16c5","CARBIMAZOLE, 20mg, tab.","f1b8c5e7-b08e-4353-b2d6-aa149bf12ef5","c1f4a088-32a8-4b34-8162-944bb6ed026f","20mg"
"a5e1e1d6-9b60-4b82-b6e0-362cf2297553","CEFIXIME, 100mg/5ml, powder for oral susp., 60ml, bot.","b258a35f-6cf3-4ad4-88af-ba15f214ea00","9211e6c7-9ac6-413d-9f4b-c5c90be6c52d","100mg/5ml, 60ml"
"ac45980f-ee02-4f05-ba95-b35801f01861","CEFIXIME, 200 mg, tab.","b258a35f-6cf3-4ad4-88af-ba15f214ea00","c1f4a088-32a8-4b34-8162-944bb6ed026f","200 mg"
"a5887fa2-e03b-4711-886d-f7b0774b885a","CEFIXIME, 400 mg, tab.","b258a35f-6cf3-4ad4-88af-ba15f214ea00","c1f4a088-32a8-4b34-8162-944bb6ed026f","400 mg"
"8c71a402-e9f1-48ca-8755-5cb112231553","CEFALEXIN, 125mg/5ml, gran./powder for oral susp., 100ml bot","bd160a9a-8411-42ed-9c00-3ba1805976c5","b277519e-e813-4b63-b093-2abf7f3f2960","125mg/5ml, 100ml"
"36cb588f-f54b-4f4c-b710-9705014e4b59","CEFALEXIN, 250mg, caps.","bd160a9a-8411-42ed-9c00-3ba1805976c5","c2c7e944-e9d6-4b2d-bf1e-b542dbdbb634","250mg"
"87b6ce28-2b73-4842-a28d-699f10f118c0","CETIRIZINE, 10mg, tab.","0c8fa943-82e7-44af-8aa7-d7f5f0c434cb","c1f4a088-32a8-4b34-8162-944bb6ed026f","10mg"
"90b6d406-d281-4a35-8915-1b1c254ad3f8","CHARCOAL ACTIVATED, granules for oral susp., 50g, bot.","3be7d89b-446f-49aa-b132-de2d1cd48df9","2aba1a18-5eeb-4e2e-9ff3-879580b74286","50g"
"263fee45-326c-4587-b776-1d1efd1d71a0","CHLORPROMAZINE hydrochloride, eq. 100mg base, tab.","4a7b1215-00f8-4031-ad11-07bde2bdb8c5","c1f4a088-32a8-4b34-8162-944bb6ed026f","eq. 100mg base"
"73bc4874-e6a1-4c3e-ab25-25526f852e9d","CHLORPROMAZINE hydrochloride, eq. 25mg base, tab.","4a7b1215-00f8-4031-ad11-07bde2bdb8c5","c1f4a088-32a8-4b34-8162-944bb6ed026f","eq. 25mg base"
"cb039bf6-667b-4362-8ab2-c75117b470bf","CHLORAMPHENICOL, 250mg, caps.","74487ed5-017d-4364-b56f-422292beb073","c2c7e944-e9d6-4b2d-bf1e-b542dbdbb634","250mg, caps."
"cf4e515d-a2fb-4c07-8ea6-6e9669f63de6","CHLOROQUINE, 155mg base, (250mg phosphate), tab.","4c0ef15c-7e24-4b0b-95a0-4dfe57263f0f","c1f4a088-32a8-4b34-8162-944bb6ed026f","155mg base, (250mg phosphate)"
"ed5a53e4-79d8-4b2f-a91b-1f6538f2aa5b","CIPROFLOXACIN, 250mg/5ml, gran.+ solvent oral susp","f570194d-aa6b-4adb-8de4-b7fa7f39d237","2aba1a18-5eeb-4e2e-9ff3-879580b74286","250mg/5ml"
"d06b0a12-668b-4d0a-932e-80f2b61fb446","CIPROFLOXACIN hydrochloride, eq. 250mg base, tab.","f570194d-aa6b-4adb-8de4-b7fa7f39d237","c1f4a088-32a8-4b34-8162-944bb6ed026f","eq. 250mg base"
"2a80a72b-537c-40d0-aa6a-412cc911d9f3","CIPROFLOXACIN hydrochloride, eq. 500mg base, tab.","f570194d-aa6b-4adb-8de4-b7fa7f39d237","c1f4a088-32a8-4b34-8162-944bb6ed026f","eq. 500mg base"
"b8a3cdf1-70d9-47fb-91f5-60106e776f5b","CLARITHROMYCIN, 250mg, tab.","bf03e7fd-880c-4b2d-b20d-4392d76f2a15","c1f4a088-32a8-4b34-8162-944bb6ed026f","250mg"
"75bcfbe3-2cd3-4e01-83a8-c9e9a04f93cc","CLARITHROMYCIN, 500mg, tab.","bf03e7fd-880c-4b2d-b20d-4392d76f2a15","c1f4a088-32a8-4b34-8162-944bb6ed026f","500mg"
"d3859814-4d07-4f4a-966a-279bf15c0edd","CLINDAMYCIN hydrochloride, eq. 150mg base, caps.","d91d8408-9953-42a1-87f6-8b78b530986b","c2c7e944-e9d6-4b2d-bf1e-b542dbdbb634","eq. 150mg base"
"77aff7af-5460-4064-9325-1e8782ef8ba3","CLINDAMYCIN hydrochloride, eq. 300mg base, caps.","d91d8408-9953-42a1-87f6-8b78b530986b","c2c7e944-e9d6-4b2d-bf1e-b542dbdbb634","eq. 300mg base"
"66e4dae1-8ae9-43c5-8cae-51c6388e3b8f","CLOFAZIMINE, 100mg, soft caps.","bd143bfe-449e-4392-aa8c-216187c75d6f","c11d3aaa-7949-4e17-bcdc-3b71e71016f4","100mg"
"3e92b275-9c5b-49eb-9ea6-ab471fa349dc","CLOFAZIMINE, 100mg, tab.","bd143bfe-449e-4392-aa8c-216187c75d6f","c1f4a088-32a8-4b34-8162-944bb6ed026f","100mg"
"ee0288cb-8a52-4970-8054-7a115ac95ebc","CLOFAZIMINE, 50mg, soft caps.","bd143bfe-449e-4392-aa8c-216187c75d6f","c11d3aaa-7949-4e17-bcdc-3b71e71016f4","50mg"
"29d1bddf-ef7d-4e1e-9201-ce9af63cf50f","CLOFAZIMINE, 50mg, tab.","bd143bfe-449e-4392-aa8c-216187c75d6f","c1f4a088-32a8-4b34-8162-944bb6ed026f","50mg"
"5a74bfe2-0287-4f64-a6d1-f9a5b4212989","CLOPIDOGREL 75mg, tab.","d9ae78a9-b6c7-42e1-84a8-64b739bd3392","c1f4a088-32a8-4b34-8162-944bb6ed026f","75mg"
"b66b7fa4-93b1-4ea0-987a-ad8e2dacd7bd","CLOXACILLIN sodium, eq. 250mg base, caps.","87765450-3cae-4381-8339-645cf6b9f583","c2c7e944-e9d6-4b2d-bf1e-b542dbdbb634","eq. 250mg base"
"df6d04e0-43eb-4f72-9dad-d6c7eb861d53","CLOXACILLIN sodium, eq. 500mg base, caps.","87765450-3cae-4381-8339-645cf6b9f583","c2c7e944-e9d6-4b2d-bf1e-b542dbdbb634","eq. 500mg base"
"0adace4a-d211-4fce-b3ab-9e408f9e1503","CODEINE phosphate, 15mg/5ml, syrup, 200ml, bot.","0c764a52-577f-4005-b739-b5737266d324","c32ceb56-39f9-4d40-8a96-3305bf0da519","15mg/5ml, 200ml"
"fdb7a7fb-2a2f-4ae3-9d30-a91784fb1305","CODEINE phosphate, 30mg, tab.","0c764a52-577f-4005-b739-b5737266d324","c1f4a088-32a8-4b34-8162-944bb6ed026f","30mg"
"92221e58-c160-41c5-b3e4-d24c6d3d0792","COLECALCIFEROL (vit.D3) 10,000 IU/ml, sol., 10ml, bot.","75cdb732-08c3-4890-8de6-2780822e2e41","3c8edfcb-33b1-4b46-a7c7-cff7ecb5c675","10,000 IU/ml, 10ml"
"4b3da439-c8b5-4711-ba24-f4dd7c96e928","COTRIMOXAZOLE, 100mg/ 20mg, disp. tab.","c25a5c8e-3067-4192-95a4-bd88dd9d5af8","c1f4a088-32a8-4b34-8162-944bb6ed026f","100mg/ 20mg"
"d30345e3-2394-4130-af50-573f82e8e1fc","COTRIMOXAZOLE, 200mg/40mg/5ml, oral susp, 100ml, bot.","c25a5c8e-3067-4192-95a4-bd88dd9d5af8","fe152bf2-f35e-41fa-bc78-bbb94b60d6d2","200mg/40mg/5ml, 100ml"
"3d04cac3-1556-414f-841b-207cd298c773","COTRIMOXAZOLE, 400mg/ 80mg, tab.","c25a5c8e-3067-4192-95a4-bd88dd9d5af8","c1f4a088-32a8-4b34-8162-944bb6ed026f","400mg / 80mg"
"522a4060-4caf-4316-bb84-3ea2be30212c","COTRIMOXAZOLE, 800mg/ 160mg, tab.","c25a5c8e-3067-4192-95a4-bd88dd9d5af8","c1f4a088-32a8-4b34-8162-944bb6ed026f","800mg / 160mg"
"b54ceada-de62-409a-8545-fea47e40b1b8","CYCLOSERINE, 125mg, caps. blister","548f319a-0e42-4d24-b739-cd0644d20318","c2c7e944-e9d6-4b2d-bf1e-b542dbdbb634","125mg"
"e71de852-ba77-436f-8d20-24f042409cb6","CYCLOSERINE, 250mg, caps. blister","548f319a-0e42-4d24-b739-cd0644d20318","c2c7e944-e9d6-4b2d-bf1e-b542dbdbb634","250mg"
"54cbfb2d-3706-47b6-89f6-f780297d93ce","DACLATASVIR dihydrochloride (DCV), eq. 30mg base, tab.","f409ad32-2c73-4d84-859c-e6094cfa2c66","c1f4a088-32a8-4b34-8162-944bb6ed026f","eq. 30mg base"
"49f03e09-bb09-480a-b5f9-be3f7e676816","DACLATASVIR dihydrochloride (DCV), eq. 60mg base, tab.","f409ad32-2c73-4d84-859c-e6094cfa2c66","c1f4a088-32a8-4b34-8162-944bb6ed026f","eq. 60mg base"
"49c7e872-5c96-4939-b7e3-e08075b9e790","DACLATASVIR dihydrochloride (DCV), eq. 60mg base, break.tab.","f409ad32-2c73-4d84-859c-e6094cfa2c66","7c964548-938f-4e28-971e-b1bc660f2484","eq. 60mg base"
"efa20a4e-be4e-4726-8135-ac1d4178a7b2","DAPSONE, 100mg, tab.","fed44205-ba54-46b4-9c1d-46794e15976a","c1f4a088-32a8-4b34-8162-944bb6ed026f","100mg"
"f10d1530-6e05-4ef3-a4c2-22db7c2cc16d","DAPSONE, 50mg, tab.","fed44205-ba54-46b4-9c1d-46794e15976a","c1f4a088-32a8-4b34-8162-944bb6ed026f","50mg"
