Uuid,Role name,Description,Inherited roles,Privileges,_order:1000
90214c95-c4d5-48ae-af98-d5cbe5165650,Mental Health Counselor,Mental Health Counselor,Mosul: View patient queues; Mosul: Sensitive Appointments; Mosul: Manage appointments; Mosul: Patient registration; Mosul: Mental Health, Edit sensitive mental health fields,
6d235145-ce5e-49a3-a85a-b3e29e9f0e8c,Mental Health Doctor,Mental Health Doctor,Mosul: View patient queues; Mosul: Sensitive Appointments; Mosul: Manage appointments; Mosul: Patient registration; Mosul: Mental Health, Edit sensitive mental health fields,
a4e691d1-204c-4f4e-9d95-0d308fae2ab9,Maternity Nurse,Maternity Nurse,Mosul: View patient queues; Mosul: Manage appointments; Mosul: Patient registration;,,
765b81dd-2ad9-4702-8428-39889a85844d,Mosul: Supervisor,Able to view and edit clinical data.,Mental Health Nurse; Mental Health Counselor; Mental Health Doctor; Maternity Nurse,,
557215b6-dfe6-4ff6-9ee6-d6974cb7b2ab,Mosul: Family Planning,Able to view and edit family planning data,Mosul: General role; Mosul: Manage Patients,View Family Planning; Edit Family Planning,
0231a4f5-190c-4929-9d7d-009900a35e40,Mosul: Nutrition Clinician,Able to view and edit nutrition data.,Mosul: General role; Mosul: Manage Patients;,Manage Nutrition; View Nutrition; Edit Nutrition,
88c0689b-22fa-42b6-ac4c-b1c330936e84,Mosul: Nutrition Nurse Assistant,Able to view and edit specific non-sensitive nutrition data.,Mosul: General role;,View Nutrition; Edit Nutrition,
0246d6f2-cbca-40f4-bb0d-3ae9b80f6a7b,Mosul: Laboratory Technician,Able to view and edit laboratory data.,Mosul: General role; Mosul: Manage Patients;,Get Orders; View Orders; Add Orders; Edit Orders; Delete Orders; Manage Patient Orders,
2fb03eb4-95d7-48d8-b4ac-0e56fc968ee0,Mosul: Surgery and Anesthesia,Able to view and edit surgery and anesthesia data.,Mosul: General role; Mosul: Manage Patients;,View Surgery and Anesthesia; Edit Surgery and Anesthesia,
92d4ed18-bb61-4945-8630-7228e6edc6d4,Mosul: Emergency Room,Able to view and edit emergency room data.,Mosul: General role; Mosul: Manage Patients;,View Emergency Room; Edit Emergency Room,
dbe2b6d3-7532-416d-8a85-0d18bb4684f0,Mosul: Neonatology,Able to view and edit neonatal data.,Mosul: General role; Mosul: Manage Patients;,View Neonatology; Edit Neonatology,
d9cd14c5-9e85-4098-910f-c3d805415d56,Mosul: Pediatrics,Able to view and edit pediatric data.,Mosul: General role; Mosul: Manage Patients;,View Pediatrics; Edit Pediatrics,
5d375d72-1c9a-403c-b736-39576966d222,Mosul: Adult Care,Able to view and edit adult data.,Mosul: General role; Mosul: Manage Patients;,View Adult; Edit Adult,
df8e527a-5fda-4464-9353-f130d9328e42,Mosul: Maternity,Able to view and edit maternity data.,Mosul: General role; Mosul: Manage Patients;,View Maternity; Edit Maternity,
db43edb8-c399-435e-bb11-7733d69aeb46,Mosul: Outpatient,Able to view and edit outpatient data.,Mosul: General role; Mosul: Manage Patients;,View Outpatient; Edit Outpatient,
